SHORT|LONG
001|All Other Boston
002|Dorchester
003|Mattapan
004|Roxbury
005|South Boston
006|Hyde Park
007|Jamaica Plain
008|Roslindale
009|West Roxbury
010|Allston
011|Brighton
018|Charlestown
019|East Boston
01A|East Acton 
01B|North Acton 
01C|South Acton 
01D|West Acton 
01E|Long Plain 
01F|Arnoldsville 
01G|Bowen's Corner 
01H|Maple Grove 
01I|Renfrew
01J|Zylonite 
01K|Cheshire Harbor 
01L|Cheshire Harbor 
01M|Hubbard Corners 
01N|Salisbury Point 
01O|East Amherst 
01P|Factory Hollow 
01Q|Mill Valley 
01R|North Amherst 
01S|South Amherst 
01T|Haggatts Station 
01U|Shawsheen Heights
01V|Shawsheen Village 
01W|Gay Head Neck 
01X|Arlington Heights 
01Y|Brattle Station 
01Z|East Arlington 
02A|Blackburn Village 
02B|Lane Village 
02C|North Ashburnham 
02D|South Ashburnham 
02E|South Village 
02F|Spruce Corner 
02G|Watson 
02H|Eaglesville 
02I|Fryeville 
02J|Partridgeville 
02K|Pinedale 
02L|South Athol 
02M|Briggs Corner 
02N|Dodgeville 
02O|Hebronville 
02P|Drury Square 
02Q|Oxford Heights 
02R|Pakachoag Hill 
02S|Pondville 
02T|Stoneville 
02U|West Auburn 
02V|Pingreyville 
02W|Shaker Village 
02X|Willows 
02Y|Oyster Harbors 
02Z|Wianno 
03A|Barre Falls 
03B|Barre Plains 
03C|Coldbrook 
03D|Heald Village 
03E|South Barre 
03F|White Valley 
03G|Bancroft 
03H|Becket Center 
03I|Bonny Rigg 
03J|West Becket 
03K|Bedford Springs 
03L|West Bedford 
03M|Bardwell 
03N|Dwight 
03O|Caryville 
03P|Crooks Corner 
03Q|North Bellingham 
03R|Rakeville 
03S|Scott Hill 
03T|South Bellingham 
03U|Payson Park 
03V|Waverley 
03W|Assonet Neck 
03X|Berkley Bridge 
03Y|Myricks 
03Z|East Berlin 
04A|South Berlin 
04B|West Berlin 
04C|North Bernardston 
04D|East Billerica 
04E|North Billerica 
04F|Nutting Lake 
04G|Pattenville 
04H|Pinehurst 
04I|South Billerica 
04J|East Blackstone 
04K|Millerville 
04L|Millville 
04M|North Blandford 
04N|Fryeville 
04O|South Bolton 
04P|Still River 
04Q|Aberdeen 
04R|Dorchester's Andrew Square
04S|Dorchester's Ashmont
04T|West Roxbury's Bellevue Hill
04U|South Boston's Castle Island
04V|Central Avenue 
04W|Brighton's Chestnut Hill
04X|South Boston's City Point
04Y|Clarendon Hills 
04Z|Brighton's Cleveland Circle
05A|Dorchester's Codman Square
05B|Commercial Point 
05C|Dorchester's Dorchester Center
05D|South Boston's Dorchester Heights
05E|Dorchester's Lower Mills
05F|Hyde Park's Fairmount
05G|Faneuil 
05H|Dorchester's Fields Corner
05I|Jamaica Plain's Forest Hills
05J|Roxbury's Franklin Park
05K|Dorchester's Grove Hall
05L|East Boston's Jeffries Point
05M|Kenmore Square 
05N|Long Island 
05O|Dorchester's Meeting House Hill
05P|Dorchester's Mount Bowdoin
05Q|Dorchester's Neponset
05R|Nonantum Hill 
05S|East Boston's Orient Heights
05T|Hyde Park's Readville
05U|Roxbury's Roxbury Crossing
05V|Dorchester's Savin Hill
05W|Spectacle Island 
05X|Stony Brook Reservation 
05Y|East Boston's Suffolk Downs
05Z|Charlestown's Sullivan Square
06A|Thompsons Island 
06B|Dorchester's Uphams Corner
06C|Dorchester's Wellington Hill
06D|Gray Gables 
06E|Mashnee Island 
06F|North Pocasset 
06G|Sagamore Highlands 
06H|South Pocasset 
06I|Wings Neck 
06J|Boylston Center 
06K|Morningdale 
06L|Five Corners 
06M|South Brewster 
06N|Paper Mill Village 
06O|Scotland 
06P|East Brimfield 
06Q|Fentonville 
06R|Little Rest 
06S|West Brimfield 
06T|Morses Corner 
06U|Beaconsfield 
06V|Brookline Hills 
06W|Brookline Village 
06X|Chestnut Hill 
06Y|Coolidge Corner 
06Z|Longwood 
07A|Reservoir 
07B|Buckland Four Corners 
07C|Shelburne Falls 
07D|Winnmere 
07E|Canton Junction 
07F|Ponkapoag 
07G|Springdale 
07H|East Carver 
07I|South Carver 
07J|Wenham 
07K|Charlton City 
07L|Charlton Depot 
07M|Dodge 
07N|Richardsons Corner 
07O|North Chelmsford 
07P|South Chelmsford 
07Q|Westlands 
07R|Farnams 
07S|Chester Center 
07T|Dayville 
07U|Bisbee
07V|Aldenville 
07W|Chicopee Falls 
07X|North Chicopee 
07Y|Sandy Hill 
07Z|Nashaquitsa 
08A|Quansoo 
08B|Briggsville 
08C|Houghtonville 
08D|Beechwood 
08E|Black Rock 
08F|North Cohasset 
08G|Nine Acre Corner 
08H|West Concord 
08I|Burkville 
08J|Shirkshire 
08K|Swift River 
08L|West Cummington 
08M|Ferncroft 
08N|Bay View 
08O|Bliss Corner 
08P|Faunce Corner 
08Q|Nonquitt 
08R|Russell Mills 
08S|Smiths Mills 
08T|Summit Grove 
08U|Fairbanks Park 
08V|Readville Manor 
08W|Bardwell
08X|Cheapside 
08Y|Mill River 
08Z|Wapping 
09A|West Deerfield 
09B|North Dennis 
09C|Segreganset 
09D|West Dighton 
09E|East Douglas 
09F|Tasseltop 
09G|Collinsville 
09H|Kenwood 
09I|Chaseville 
09J|Perryville 
09K|Quinebaug 
09L|Tufts Village 
09M|West Dudley 
09N|Ashdod 
09O|Cedar Crest 
09P|Island Creek 
09Q|Millbrook 
09R|North Duxbury 
09S|South Duxbury 
09T|Tarkiln 
09U|Tinkertown 
09V|West Duxbury 
09W|Beaver 
09X|Curtisville 
09Y|Eastville 
09Z|Elmwood 
101|Back Bay
102|Beacon Hill
103|North End
104|South End
105|The Fenway
106|Waterfront
107|Mission Hill
108|Midtown
109|West End
10A|Northville 
10B|Westdale 
10C|Nausett 
10D|Loudville 
10E|Mount Tom 
10F|Easton Center 
10G|Easton Green 
10H|Eastondale 
10I|North Easton 
10J|South Easton 
10K|Cape Poge 
