PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|CI_TYPE|SPACE_AVAILABLE|RSU_UNITS|RSF_BLDG_SF|OFU_UNITS|OFF_BLDG_SF|REU_UNITS|REF_BLDG_SF|WAU_UNITS|WAF_BLDG_SF|MAU_UNITS|MAF_BLDG_SF|TOTAL_UNITS|TOTAL_BLDG_SF|LOT_SIZE|ACRE|PARKING_SPACES
CI|30807627|G0002796|G62115|ACT|5.95|92|BOLT ST||372||01852|U|5|2/6/2006 3:04:00 PM|31|A|B|0|0|0|0|0|0|2|50000|0|0|2|40000|130680|3|150
CI|70118274|H4385476|H17100|ACT|149750|50|SOUTH MAIN ST||473||01364|U|5|11/17/2004 2:24:00 PM|31|B|A|0|17000|0|0|1|1000|1|17000|0|17000|2|18000|16000|0.36|21
CI|70272422|J0000997|J61900|ACT|350000|181-183|High Street||858||01040|U|2|10/6/2005 10:04:00 AM|3|C|A|5|3500|1|240|1|1348|0|0|0|0|7|5088|1742|0.03|0
CI|70328619|FR000264|FR0212|ACT|299900|738-744|Plymouth Avenue||161||02721|U|1|3/7/2012 3:29:00 PM|1|A|A|2|2552|1|1276|0|0|0|0|0|0|3|3828|3571|0.08|4
CI|70353929|C2422247|C19500|ACT|575000|179-183|Humphrey Street||318||01945|U|1|3/31/2006 12:34:00 PM|1|A|A|0|0|0|0|2|2962|0|0|0|0|2|2962|0.13|0|8
CI|70356367|E0000DAM|E21001|ACT|175000|89|S Maple Street||862||01085|U|7|4/9/2007 4:42:00 PM|127|A|A|1|2820|0|0|0|0|0|0|0|0|1|2820|34850|0.8|25
CI|70442559|D0002743|D49801|ACT|600|1049|Lakeview Avenue|7|371||01826|N|1|8/18/2006 9:03:00 AM|1|E|B|0|0|1|384|0|0|0|0|0|0|1|384|0|0|31
CI|70445650|NB111296|BB1175|ACT|600|31|Hayward St||34||02038|U|2|8/24/2006 11:39:00 AM|3|B|B|0|0|6|4643|0|0|0|0|0|0|||327310|7.51|60
CI|70445652|NB111296|BB1175|ACT|13|31|Hayward St||34||02038|U|3|8/24/2006 11:40:00 AM|7|B|B|0|0|0|0|0|0|1|950|0|0|||327310|7.51|20
CI|70445686|NB111296|BB1175|ACT|400|18|Water St||47||01746|U|1|8/24/2006 12:15:00 PM|1|A|B|0|0|4|2900|0|0|2|6740|0|0||2900|57935|1.33|5
CI|70445687|NB111296|BB1175|ACT|11|18|Water St||47||01746|U|1|8/24/2006 12:16:00 PM|1|A|B|0|0|1|6740|0|0|0|0|0|0|2|2000|57935|1.33|5
CI|70457160|H2547409|D62801|ACT|195000|495|Main Street,Suite D||459||01450|U|2|9/14/2006 2:42:00 PM|3|A|A|0|0|0|0|1|1208|0|0|0|0|1|1208|217800|5|4
CI|70463737|A9500395|A95432|ACT|2500000|24|Sandwich Rd||117|WAR|02571|U|5|9/24/2006 2:23:00 PM|31|A|C|0|0|10|2500|4|2500|4|10000|2|10000|18|15000|66647|1.53|50
CI|70484089|BB922649|BB5884|ACT|599000|240|Main Street||1083||03581|U|9|11/1/2006 6:15:00 PM|511|A|A|4|0|0|0|1|0|0|0|0|0|5||108900|2.5|20
CI|70508971|BB300434|BB1115|ACT|675|12|Harding Street|201,202,105|153||02347|U|9|10/3/2007 9:17:00 AM|511|E|B|0|0|3|600|3|600|0|0|0|0|6|1600|87120|2|4
CI|70534981|A0002243|A01801|ACT|1200000|16|Town Wharf||213||02360|U|5|6/26/2009 11:13:00 AM|31|A|A|0|0|0|0|0|0|0|0|0|0|||5400|0.12|4
CI|70535214|BB803281|A95517|ACT|550000|454|South Ave.||186||02382|U|5|3/5/2007 6:18:00 PM|31|A|A|0|0|2|500|1|9415|1|9415|0|0|1|9415|47990|1.1|100
CI|70538519|BB983026|BB9241|ACT|2500|335|North Washington ROUTE 1A||68||02760|U|3|3/11/2007 9:43:00 PM|7|A|B|0|0|0|0|1|1442|0|0|0|0|1|2297|17783|0.4|15
CI|70554889|G0000612|AC2004|ACT|2185|40|Vinal Square|A|376||01863|U|6|4/9/2007 3:15:00 PM|63|A|B|0|0|0|0|1|2200|0|0|0|0|1|2200|0|0|10
CI|70576846|FR000241|FR0078|ACT|299000|662|State Road||157||02747|U|6|7/12/2011 11:59:00 AM|63|E|C|0|0|1|2200|0|0|0|0|0|0|1|2200|9950|0.22|9
CI|70590736|BB600121|BB0285|ACT|8|550|North Main Street|1|67||02703|U|12|1/27/2012 6:57:00 PM|4095|E|B|0|0|1|2660|0|0|0|0|0|0|1|2660|13824|0.31|30
CI|70633335|J0000997|J61900|ACT|429900|948|Dwight Street||858||01040|U|4|8/20/2007 11:09:00 AM|15|C|A|16|10608|0|0|0|0|0|0|0|0|16|10608|4860|0.11|6
CI|70642185|NB112156|NB2872|EXT|595000|85|Flagship Drive|J|362||01845|U|1|9/12/2007 10:31:00 AM|1|B|C|0|0|1|2379|0|0|1|5915|0|0|1|8294|80150|1.83|6
CI|70656705|NB112156|NB2872|EXT|449500|191|Chandler Road|B|363||01810|U|2|10/1/2007 11:33:00 AM|3|B|A|0|0|1|4565|0|0|0|0|0|0|1|4565|0|0|6
CI|70656736|NB112156|NB2872|EXT|220000|857|Turnpike Street|234|362||01845|U|1|10/1/2007 12:04:00 PM|1|E|C|0|0|1|1650|0|0|0|0|0|0|1|1650|0|0|6
CI|70659116|M0001467|M80012|ACT|49900|41|Cleveland||839|845|01104|U|2|10/4/2007 3:07:00 PM|3|B|A|0|0|1|600|0|0|1|0|0|2600|0|3200|5213|0.11|4
CI|70663472|BB921162|BB4539|ACT|399999|366|Winthrop St||175||02769|N|6|1/21/2010 12:57:00 PM|63|E|A|0|0|1|2992|0|0|0|0|0|0|1|2992|20473|0.47|20
CI|70669637|G0002796|G62115|ACT|5.95|92|BOLT|5|372|SLO|01852|U|1|10/26/2007 1:12:00 PM|1|A|B|0|0|1|2000|0|0|1|18000|1|18000|3|18000|130680|3|150
CI|70669640|G0002796|G62115|ACT|5.95|92|BOLT|1|372|SLO|01852|U|1|10/27/2007 9:36:00 AM|1|A|B|0|0|1|2000|0|0|1|5000|1|5000|3|5000|130680|3|150
CI|70669641|G0002796|G62115|ACT|5.95|92|BOLT|2|372|SLO|01852|U|1|10/27/2007 9:37:00 AM|1|A|B|0|0|1|0|0|0|1|0|1|6000|3|6000|130680|3|150
CI|70669642|G0002796|G62115|ACT|5.95|92|BOLT|3|372|SLO|01852|U|1|10/27/2007 9:37:00 AM|1|A|B|0|0|1|2000|0|0|1|5000|1|5000|3|7000|130680|3|150
CI|70669645|G0002796|G62115|ACT|5.95|92|BOLT|4|372|SLO|01852|U|1|10/27/2007 9:39:00 AM|1|A|B|0|0|1|0|0|0|1|5000|1|5000|3|10000|130680|3|150
CI|70678447|C0002019|C95187|ACT|299000|28|Main St||210|18I|02364|N|2|3/10/2011 6:00:00 PM|3|A|A|2|2130|0|0|0|0|0|0|0|0|2|2370|15628|0.36|6
CI|70690077|BB805100|BB0105|ACT|16|1032|Turnpike St.|302|23||02021|U|1|12/26/2007 12:10:00 PM|1|A|C|0|0|1|2122|0|0|0|0|0|0|10|2122|35000|0.8|44
CI|70692334|C0002019|C95187|ACT|599000|32|Main Street||210||02364|N|2|3/10/2011 6:23:00 PM|3|A|A|0|0|0|0|0|0|0|0|0|0|0|0|52708|1.21|50
CI|70692345|BB805375|BB3307|ACT|860000|15|shirley St.||155||02719|U|15|1/10/2011 4:44:00 PM|32767|B|A|2|2245|0|0|1|500|1|1500|0|0|4|4245|74052|1.7|50
CI|70699141|FR000173|FR0045|ACT|259900|822|EASTERN AVE||161||02723|N|1|8/8/2008 12:30:00 PM|1|A|A|0|0|0|0|1|600|1|6600|0|0|1|7200|13124|0.3|10
CI|70699706|NB110080|NB1068|ACT|7|330|Lynnway||312||01901|U|1|1/18/2008 4:30:00 PM|1|B|B|0|0|0|0|0|0|1|3130000|0|0|1|130000|1086776|24.95|112
CI|70707497|FR001014|FR0140|ACT|625000|1280|Acushnet Ave||156|NNO|02746|U|1|2/5/2008 9:31:00 AM|1|A|C|0|0|0|0|1|9584|0|0|0|0|1|9584|8042|0.18|20
CI|70711775|K0002088|AC1028|ACT|385000|9|monroe st||406||01532|U|1|8/26/2008 10:07:00 AM|1|A|A|0|0|1|2180|0|0|1|1200|0|0|1|2180|9100|0.2|6
CI|70725370|NB112156|NB2872|EXT|225000|867|Turnpike Street|213|362||01845|U|1|3/12/2008 9:57:00 AM|1|E|C|0|0|1|1650|0|0|0|0|0|0|1|1650|0|0|6
CI|70736228|BB300401|BB5775|ACT|17.5|124|Grove St||34||02038|U|6|4/1/2008 5:47:00 PM|63|A|C|0|0|4|21000|0|0|0|0|0|0|4|21000|547114|12.56|300
CI|70736243|BB300401|BB5775|ACT|14|138|South Main St||441||01757|U|8|12/10/2009 4:51:00 PM|255|A|B|0|0|0|0|4|17000|0|0|0|0|4|50000|239580|5.5|300
CI|70736592|FR000264|FR0212|ACT|375000|1697|Acushnet Ave||156||02746|U|4|3/22/2011 11:41:00 AM|15|A|A|0|0|0|0|3|6232|0|0|0|0|3|6232|6963|0.16|0
CI|70744240|NB110080|NB1068|ACT|3450000|183|Orleans St||1||02128|U|4|4/15/2008 10:44:00 AM|15|B|A|0|0|0|0|0|0|0|0|1|60000|1|60000|36000|0.82|45
CI|70753083|D0005341|D95051|ACT|999000|4|Makepeace Rd.|B|379||01886|U|1|5/2/2008 4:15:00 PM|1|A|A|0|0|1|6000|1|6000|1|6000|1|6000|1|6000|120000|2.75|41
CI|70756855|BB804044|BB3410|ACT|2362|65|HOLBROOK STREET|260|37||02056|U|12|5/6/2008 4:22:00 PM|4095|E|B|0|0|1|2180|0|0|0|0|0|0|1|2180|0|0|168
CI|70756861|BB804044|BB3410|ACT|1160|65|HOLBROOK STREET|210|37||02056|U|12|5/6/2008 4:30:00 PM|4095|E|B|0|0|1|1070|0|0|0|0|0|0|1|1070|0|0|168
CI|70756877|BB804044|BB3410|ACT|2646|65|HOLBROOK STREET|180|37||02056|U|12|5/6/2008 4:44:00 PM|4095|A|B|0|0|0|0|1|1984|0|0|0|0|1|1984|0|0|168
CI|70756887|BB804044|BB3410|ACT|1928|65|HOLBROOK STREET|110|37||02056|U|12|5/6/2008 4:51:00 PM|4095|A|B|0|0|0|0|1|1445|0|0|0|0|1|1445|0|0|168
CI|70757623|B0446085|B99271|ACT|899900|275|Groveland St||352||01830|U|22|5/7/2008 5:03:00 PM|4194303|A|A|1|1200|1|0|1|3500|0|0|0|0|2|4200|4158|0.09|8
CI|70761721|FR000173|FR0045|ACT|239500|236|NEW BOSTON ROAD||161||02720|N|1|5/14/2008 5:30:00 PM|1|A|A|1|2000|0|0|1|1150|0|0|0|0|2|3121|3900|0.08|4
CI|70766470|M9500176|M95184|ACT|289000|306|Pasco Road||839||01151|U|1|5/29/2008 10:27:00 AM|1|A|A|0|0|0|0|1|1500|0|0|0|1500|1|0|16988|0.39|20
