SHORT|LONG
ADVT|Addison
ANDM|Androscoggin
AROM|Aroostook
BARN|Barnstable
BELK|Belknap
BERK|Berkshire
BNVT|Bennington
BREV|Brevard
BRFL|Broward
BRIS|Bristol
BRRI|Bristol
CARR|Carroll 
CAVT|Caledonia
CHAR|Charlotte
CHES|Cheshire
CHFL|Charlotte
CHVT|Chittenden
CITR|Citrus
COLL|Collier
COLU|Columbia
COOS|Coos
CUMM|Cumberland
DUKE|Dukes
ESSX|Essex
ESVT|Essex
FAIR|Fairfield
FLFL|Flagler
FRAM|Franklin
FRAN|Franklin
FRAV|Franklin
GIVT|Grand Isle
GRAF|Grafton
HAMD|Hampden
HAMP|Hampshire
HANM|Hancock
HART|Hartford
HGFL|Highlands
HILL|Hillsborough
HLFL|HillsBorough
IRFL|Indian River
KENM|Kennebec
KENT|Kent
KNOM|Knox
LAVT|Lamoille
LEFL|Lee
LINM|Lincoln
LITC|Litchfield
LKFL|Lake
MAFL|Manatee
MDCT|Middlesex
MDFL|Miami-Dade
MERR|Merrimack
MIDD|Middlesex
MNFL|Marion
NANT|Nantucket
NEWH|New Haven
NEWL|New London
NEWP|Newport
NORF|Norfolk
NYAB|Albany
NYAL|Allegany
NYBR|Broome
NYBX|Bronx
NYCH|Chenango
NYCL|Clinton
NYCM|Chemung
NYCO|Cortland
NYCQ|Chautauqua
NYCT|Cattaraugus
NYCY|Cayuga
NYDE|Delaware
NYDU|Dutchess
NYER|Erie
NYES|Essex
NYFR|Franklin
NYFU|Fulton
NYGE|Genesee
NYGR|Greene
NYHA|Hamilton
NYHE|Herkimer
NYJE|Jefferson
NYKI|Kings
NYLE|Lewis
NYLI|Livingston
NYMA|Madison
NYMN|Monroe
NYMT|Montgomery
NYNA|Nassau
NYNE|New York
NYNI|Niagara
NYOE|Orange
NYOL|Orleans
NYON|Oneida
NYOO|Onondaga
NYOR|Ontario
NYOS|Oswego
NYOT|Otsego
NYPU|Putnam
NYQU|Queens
NYRI|Richmond
NYRO|Rockland
NYSA|Saratoga
NYSC|Schenectady
NYSE|Seneca
NYSH|Schoharie
NYSK|Suffolk
NYST|St. Lawrence
NYSU|Steuben
NYSV|Sullivan
NYSY|Schuyler
NYTI|Tioga
NYTO|Tompkins
NYUL|Ulster
NYWA|Washington
NYWE|Westchester
NYWN|Wayne
NYWR|Warren
NYWY|Wyoming
NYYA|Yates
OKAL|Okaloosa
ORAN|Orange
ORFL|Orange
ORVT|Orleans
OSCL|Osceola
OTAR|Out of Area
OTHR|Other
OXFM|Oxford
PAFL|Pasco
PBFL|Palm Beach
PENM|Penobscot
PIFL|Pinellas
PISM|Piscataquis
PLYM|Plymouth
PROV|Providence
RENS|Rensselaer
ROCK|Rockingham
RUVT|Rutland
SAFL|Sarasota
SAGM|Sagadahoc
SARA|Sarasota
SEFL|Seminole
SOMM|Somerset
STFL|St. Lucie
STRA|Strafford
SUFF|Suffolk
SULL|Sullivan
TOLL|Tolland
VOFL|Volusia
VTWD|Windham
WALM|Waldo
WASH|Washington
WASM|Washington
WAVT|Washington
WIND|Windham
WIVT|Windsor
WLFL|Walton
WORC|Worcester
YORM|York
