sf|cc|mf|ld|ci|bu|rn|Field|Short|Medium|Long|mh
1|1|1|1|0|0|1|ADULT_COMMUNITY|N||No|1
1|1|1|1|0|0|1|ADULT_COMMUNITY|U||Unknown|1
1|1|1|1|0|0|1|ADULT_COMMUNITY|Y||Yes|1
0|0|0|0|0|0|1|AIR_CONDITION|N||No|0
0|0|0|0|0|0|1|AIR_CONDITION|U||Unknown|0
0|0|0|0|0|0|1|AIR_CONDITION|Y||Yes|0
1|1|1|1|0|0|1|AMENITIES|A|TRAN|Public Transportation|1
1|1|1|1|0|0|1|AMENITIES|B|SHOP|Shopping|1
1|1|1|1|0|0|1|AMENITIES|C|POOL|Swimming Pool|1
1|1|1|1|0|0|1|AMENITIES|D|TENN|Tennis Court|1
1|1|1|1|0|0|1|AMENITIES|E|PARK|Park|1
1|1|1|1|0|0|1|AMENITIES|F|TRLS|Walk/Jog Trails|1
1|1|1|1|0|0|1|AMENITIES|G|STBL|Stables|1
1|1|1|1|0|0|1|AMENITIES|H|GOLF|Golf Course|1
1|1|1|1|0|0|1|AMENITIES|I|MDCL|Medical Facility|1
1|1|1|1|0|0|1|AMENITIES|J|LDMT|Laundromat|1
1|1|1|1|0|0|1|AMENITIES|K|OTHR|Other (See Remarks)|1
1|1|1|1|0|0|1|AMENITIES|L||Bike Path|1
1|1|1|1|0|0|1|AMENITIES|M||Conservation Area|1
1|1|1|1|0|0|1|AMENITIES|N||Highway Access|1
1|1|1|1|0|0|1|AMENITIES|O||House of Worship|1
1|1|1|1|0|0|1|AMENITIES|P||Marina|1
1|1|1|1|0|0|1|AMENITIES|Q||Private School|1
1|1|1|1|0|0|1|AMENITIES|R||Public School|1
1|1|1|1|0|0|1|AMENITIES|S||T-Station|1
1|1|1|1|0|0|1|AMENITIES|T||University|1
0|0|1|0|0|0|0|APOD_AVAILABLE|N||No|0
0|0|1|0|0|0|0|APOD_AVAILABLE|Y||Yes|0
0|0|1|0|0|0|0|APPLIANCES|1||Refrigerator - ENERGY STAR|0
1|1|1|0|0|0|1|APPLIANCES|1||Cooktop - ENERGY STAR|1
1|1|1|0|0|0|1|APPLIANCES|2||Range - ENERGY STAR|1
0|0|1|0|0|0|0|APPLIANCES|2||Washer - ENERGY STAR|0
1|1|1|0|0|0|1|APPLIANCES|3||Water Instant Hot|1
1|1|1|0|0|0|1|APPLIANCES|4||Rangetop - ENERGY STAR|1
0|0|1|0|0|0|0|APPLIANCES|4||Water Purifier|0
1|1|1|0|0|0|1|APPLIANCES|5||Oven - ENERGY STAR|1
1|1|1|0|0|0|1|APPLIANCES|A|RNGE|Range|1
1|1|1|0|0|0|1|APPLIANCES|B|WOVN|Wall Oven|1
1|1|1|0|0|0|1|APPLIANCES|C|DWSH|Dishwasher|1
1|1|1|0|0|0|1|APPLIANCES|D|DISP|Disposal|1
