PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|BU_TYPE|LOT_SIZE|BLDG_SQ_FEET|PARKING_SPCS|REAL_ESTATE_INCLD
BU|70942928|BB807015|BB3021|ACT|15|1132|Blue Hill Ave||1||02124||10|11/30/2009 11:37:00 AM|1023|E|50000||1|
BU|71352971|BB803667|NB3240|ACT|1200|9999|confidential||1|06B|02125||3|3/17/2012 9:16:00 AM|7|D|9999||0|
BU|71342256|BB809571|NB1840|ACT|1999|370-A|Chestnut Hill Ave||1|04Z|02135||2|2/23/2012 3:37:00 PM|3|M|0||0|
BU|71352583|BB810316|NB5310|ACT|12000|1758|Dorchester Ave||1|002|02124||9|3/16/2012 12:17:00 PM|511|E|9999|1200|0|Y
BU|71270597|M9500176|M95184|ACT|27500|00|Boston area||1|05I|02130||0|8/4/2011 10:12:00 AM|0|M|0||0|
BU|71309534|M9500176|M95184|ACT|27500|00|Main Street||1||00000||0|11/9/2011 12:29:00 PM|0|M|0||0|
BU|71333564|G9502948|AC2004|ACT|39900|68|Harvard Avenue||1|010|02134||4|2/1/2012 2:45:00 PM|15|D|0||0|
BU|71322838|BB809643|AC1495|ACT|40000|855|Washington||1||02124||13|1/3/2012 8:36:00 AM|8191|C|999999||0|
BU|71349487|BB981484|BB9775|ACT|40000|51|Cottage Street||1|019|02128||1|3/10/2012 7:38:00 PM|1|K|999|999|0|N
BU|71335998|BB808890|BB5427|ACT|45000|12|south huntington ave||1|007|02130||0|2/7/2012 11:37:00 PM|0|K|1800||1|N
BU|71200989|BB807913|BB3569|ACT|49000|9999|MERIDIAN ST||1||02128||3|3/16/2011 4:32:00 PM|7|C|0||0|
BU|71298804|CT000579|BB3567|ACT|50000|999|North Beacon St.||1||02134||17|10/11/2011 1:04:00 PM|131071|D|1036||2|
BU|71351606|CT000648|AC0746|ACT|50000|107B|Savin Hill Ave||1|05V|02125||16|3/14/2012 6:43:00 PM|65535|D|9999|800|0|
BU|71319520|BB808944|AC1495|ACT|54900|272|Adams Street||1|002|02122||2|12/14/2011 4:19:00 PM|3|C|4000|1200|12|
BU|71350327|BB805032|NB2425|ACT|70000|10|Fairmont Ave||1|006|02136||5|3/12/2012 8:13:00 PM|31|C|9999|0|9999|N
BU|71225164|BB301783|E95082|ACT|95000|0000|popular||1|010|02134||0|5/2/2011 8:16:00 AM|0|K|0||0|
BU|71319070|BB805223|BB5380|ACT|95000|9999|ABC||1||02130||1|12/13/2011 10:55:00 AM|1|C|99999||0|
BU|71326294|BB804235|BB5009|ACT|96000|2|Avery St.  4||1|108|02111||3|1/11/2012 8:30:00 PM|7|M|9999||1|
BU|71303586|BB801481|BB3361|ACT|100000|0|Street||1||02108||14|10/22/2011 12:59:00 AM|16383|D|0||0|N
BU|71231117|BB910178|BB1305|ACT|110000|0|Birchwood St||1|009|02132||1|5/11/2011 10:06:00 PM|1|M|5842||6|
BU|71335447|BB904926|BB3262|ACT|110000|533|Confidential||1||02135||5|2/6/2012 6:41:00 PM|31|C|4855||2|N
BU|71330156|B0447639|B12601|ACT|115000|748|Dudley St.||1|002|02125||6|1/30/2012 12:11:00 PM|63|M|3300||0|
BU|71331746|BB904005|BB8152|ACT|120000|000|Noname Street||1||02128||9|2/6/2012 9:18:00 AM|511|C|1200||0|N
BU|71343001|BB808402|NB9068|ACT|123000|2|Rollins St. Level2/ 170-173||1|104|02116||1|2/25/2012 5:49:00 PM|1|M|0||2|
BU|71322409|BB801150|NB2388|ACT|130000|3160|Washington||1|007|02130||8|1/2/2012 3:15:00 PM|255|C|9999999||0|
BU|71327266|BB801150|NB2388|ACT|135000|600|Hyde Park Avenue||1|008|02131||8|1/28/2012 1:28:00 PM|255|C|99999999||2|N
BU|71340606|BB300879|BB2945|ACT|139900|00|confidential||1|019|02128||11|2/20/2012 11:49:00 AM|2047|K|800||0|
