PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|CC_TYPE|STYLE|NO_LIVING_LEVELS|LOT_SIZE|ACRE|SQUARE_FEET|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|LIV_LEVEL|LIV_DIMEN|DIN_LEVEL|DIN_DIMEN|FAM_LEVEL|FAM_DIMEN|KIT_LEVEL|KIT_DIMEN|MBR_LEVEL|MBR_DIMEN|BED2_LEVEL|BED2_DIMEN|BED3_LEVEL|BED3_DIMEN|BED4_LEVEL|BED4_DIMEN|BTH1_LEVEL|BTH1_DIMEN|BTH2_LEVEL|BTH2_DIMEN|LAUNDRY_LEVEL|LAUNDRY_DIMEN|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|BED5_LEVEL|BED5_DIMEN|BTH3_LEVEL|BTH3_DIMEN
CC|70301475|E0000WHM|E36402|ACT|185000|24|Myers Farm Lane|-|511||01301|U|7|5/3/2009 1:08:00 PM|127|A|M|1|291852|6.7|1255|N|4|2|2|0|Y|2|14X21|||||2|10X11|2|13X17|2|10X14|||||||||2||||||||||||||||||||
CC|70330336|F00196RM|F19601|EXT|289900|70|Washington Street|506|352||01832|U|1|4/24/2007 1:42:00 PM|1|A|D|1|||1287|N|4|2|2|0|Y|1||||||1||1||1||||||1||1||1||||||||||||||||||||
CC|70333012|FR001013|FR0140|ACT|99000|1619|Braley Road|101|156|NFN|02745|N|10|12/9/2008 9:07:00 AM|1023|A|F|1|||745|N|4|2|1|0|N|||||||||||||||||||||||||||||||||||||||||
CC|70341695|K8000942|K01349|ACT|249900|25|Spruce Street|25-B3|435||01534|U|11|8/29/2006 2:11:00 PM|2047|A|M|1|||1437|Y|5|2|2|0|Y|1|15X15|1|12X11|||1|9X12|1|12X12|1|12X12|||||1|6X10|1||||||||||||||||||||||
CC|70341720|K8000942|K01349|ACT|249900|45|Spruce Street|45-B7|435||01534|U|11|8/29/2006 2:11:00 PM|2047|A|M|1|||1437|Y|5|2|2|0|Y|1|15X15|1|12X11|||1|9X12|1|12X12|1|12X12|||||1|6X10|1||||||||||||||||||||||
CC|70341729|K8000942|K01349|ACT|249900|49|Spruce Street|49-B7|435||01534|U|11|5/6/2010 2:09:00 PM|2047|A|M|1|||1437|Y|5|2|2|0|Y|1|15X15|1|12X11|||1|9X12|1|12X12|1|12X12|||||1|6X10|1||||||||||||||||||||||
CC|70488637|E0000PMG|E21201|ACT|450900|25|New South|204|530||01060|U|2|3/15/2010 11:24:00 AM|3|A|D|1|0|0|1226|N|4|1|1|0|N|1||||||1||1||||||||1||||||||||||||||||||||||
CC|70508667|M9500143|M15000|ACT|265000|46|Palmer Road|27|865||01057|U|1|4/6/2008 10:31:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508670|M9500143|M15000|ACT|265000|46|Palmer Road|28|865||01057|U|1|4/6/2008 10:34:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508686|M9500143|M15000|ACT|265000|46|Palmer Road|1|865||01057|U|1|4/6/2008 10:22:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508688|M9500143|M15000|ACT|265000|46|Palmer Road|2|865||01057|U|1|4/6/2008 10:41:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508696|M9500143|M15000|ACT|265000|46|Palmer Road|3|865||01057|U|1|4/6/2008 10:47:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508699|M9500143|M15000|ACT|265000|46|Palmer Road|4|865||01057|U|1|4/6/2008 10:52:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508702|M9500143|M15000|ACT|265000|46|Palmer Road|5|865||01057|U|1|4/6/2008 10:58:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508734|M9500143|M15000|ACT|265000|46|Palmer Road|6|865||01057|U|1|4/6/2008 11:02:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508736|M9500143|M15000|ACT|265000|46|Palmer Road|7|865||01057|U|1|4/6/2008 11:05:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508740|M9500143|M15000|ACT|265000|46|Palmer Road|8|865||01057|U|1|4/6/2008 11:10:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508742|M9500143|M15000|ACT|299900|46|Palmer Road|9|865||01057|U|1|4/6/2008 11:20:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508746|M9500143|M15000|ACT|299900|46|Palmer Road|10|865||01057|U|1|4/6/2008 11:45:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70508749|M9500143|M15000|ACT|299900|46|Palmer Road|11|865||01057|U|1|4/6/2008 11:42:00 PM|1|A|D|1|||1650|Y|4|2|2|0|Y|1||||||1||1||1||||||1||1||||||||||||||||||||||
CC|70544397|TM005482|BB1175|ACT|589900|5|Rockville Meadows|5|36||02054|U|21|3/6/2008 10:11:00 AM|2097151|A|B|2|1176120|27|2780|Y|7|2|2|1|Y|1|18X16|1|14X12|||1|22X12|1|14X14|2|15X19|||||||||||LOF|2|12X10|OTH|2|19X14|||||||||||||
CC|70564258|E0000PMG|E21201|ACT|398000|20|Bridge Road|34|530|FLO|01062|U|1|6/8/2011 6:20:00 AM|1|A|A|1|||1616|Y|6|2|2|0|Y|||||1||1||1||1||||||1||1||1||SUN|1|||||||||||||||||
CC|70600437|E0000MEE|M80028|ACT|139900|50|Meadow Street|13|526||01002|U|9|6/19/2007 11:14:00 AM|511|A|B|2|||958|N|4|2|1|1|N|1||||||1||2||2||||||1||2||||||||||||||||||||||
CC|70638083|BB804096|BB5675|ACT|150000|180|Main St|4-305|181||02324|U|1|8/28/2007 10:01:00 AM|1|A|D|1|0|0|708|N|3|1|1|0||||||||||||||||||||||||||||||||||||||||||
CC|70678396|G0000671|G38600|ACT|199900|250|North Main Street|11|363||01810|N|11|5/20/2008 7:45:00 PM|2047|A|D|3|95832|2.2|1059|Y|3|1|1|0|Y|3|21X19|3||||3|15X8|3|16X15|||||||||||||MUD||||||||||||||||||
CC|70726361|CT005497|AC1556|ACT|145000|11B|North Castle Way|11B|2021||02813|U|6|8/25/2011 9:58:00 AM|63|A|M|1|||890|N|5|2|2|0|Y|1|15X11|1|10X8|||1|9X8|1|11X11|1|11X9|||||1|7X5|1|7X5|1||||||||||||||||||||
CC|70750328|G0001553|G62122|ACT|324900|195|Salem Street|42 - #2307|302||01887|N|5|7/15/2011 3:27:00 PM|31|A|D|1|||1540|N|5|2|2|0|Y|1||1||||1|10X16|1|12X14|2|15X16|||||1||1||1||OFC|1|12X12||||||||||||||||
CC|70764295|TEAM0187|C95234|ACT|449000|1|Freedom Hollow|1|316||01970|U|11|8/7/2008 3:03:00 PM|2047|A|B|4|||2725|Y|6|3|2|1|Y|1||1||B||1||2||2||3||||1||2||B|||||||||||||||||||2|
CC|70777336|E0000MEE|M80028|ACT|129900|50|Meadow Street|44|526||01002|U|2|6/13/2008 12:42:00 PM|3|A|B|2|||958|N|4|2|1|1|N|1||||1||2||2||||||||1||2||||||||||||||||||||||
CC|70777926|BB902297|BB1940|ACT|299990|3|EXPLORERS WAY|612|413||01520|U|1|6/15/2008 11:06:00 AM|1|A|B|2|0|0|2450|Y|6|2|2|1|Y|1||1||||1||1||2||||||1||2||1||LOF|2||OTH|1||||||||||||||
CC|70779605|BB902297|BB1940|ACT|369990|0|Tea Party Circle|L-540|413||01520|N|1|6/18/2008 1:08:00 PM|1|A|A|2|0|0|1690|Y|6|3|2|1|Y|1||1||||1||1||2||2||||1||1||1|||||||||||||||||||2|
CC|70783044|BB902297|BB1940|ACT|319990|2|EXPLORERS WAY|625|413||01520|N|1|6/25/2008 11:31:00 AM|1|A|B|1|0|0|1620|Y|5|2|2|0|Y|1||1||||1||1||1||||||1||1||1||||||||||||||||||||
