PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LD_TYPE|LOT_SIZE|ACRE
LD|30663692|TM006676|M80028|ACT|79900|LOT 1|BUFFAM ROAD||528||01002|U|1|11/1/2002|1|A|143748|3.3
LD|30785203|TM006676|M80028|ACT|750000|0|Teadwaddle Lane||526||01002|U|1|7/20/2011 1:16:00 PM|1|A|885574|20.33
LD|70026425|K0001759|K01179|ACT|2000000|3|Ulian Drive||414||01543|U|0|3/28/2007 3:12:00 PM|0|A|1082901|24.86
LD|70044345|K0002102|K01619|ACT|369500|Lot 1|Rte 146: Millbu/Sutton||434||01527|N|6|8/1/2009 2:50:00 PM|63|A|2256899|51.81
LD|70057392|BB301851|BB9924|ACT|10000000|483|Thurston Street||38||02093|U|1|7/1/2004 9:16:00 AM|1|C|297079|6.82
LD|70108954|E0000JAR|E80002|ACT|140000|Lot 41|Hawthorn Road||526||01002|U|1|10/25/2004 8:50:00 AM|1|A|36972|0.84
LD|70108960|E0000JAR|E80002|ACT|155000|Lot 42|Hawthorn Road||526||01002|U|1|10/25/2004 9:11:00 AM|1|A|37428|0.85
LD|70108969|E0000JAR|E80002|ACT|185000|Lot 43|Hawthorn Road||526||01002|U|1|10/25/2004 9:29:00 AM|1|A|31152|0.71
LD|70144281|BB801201|BB4767|ACT|329000|Lot 3|Stonebridge Lane||157|SDA|02748|U|1|4/5/2006 11:16:00 AM|1|A|847499|19.45
LD|70196804|K8000294|K95398|ACT|4000000|268|Boston Road||434||01590|U|1|5/23/2005 4:41:00 PM|1|A|2865812|65.79
LD|70219841|H2368291|H24001|ACT|325000|9-17|Gardner Road||466||01475|N|1|7/5/2005 3:50:00 PM|1|C|209088|4.8
LD|70223446|M8000937|E80002|ACT|150000|9|Palley Village lot12||526||01002|U|2|10/30/2008 9:19:00 AM|3|A|23142|0.53
LD|70270334|TM006676|M80028|ACT|79900|T-93|West Pelham Road||502||01072|U|1|10/4/2005 8:31:00 AM|1|A|206028|4.72
LD|70270340|TM006676|M80028|ACT|79900|T-117|West Pelham Road||502||01072|U|1|10/4/2005 8:30:00 AM|1|A|92347|2.11
LD|70281487|M9500139|M26501|ACT|195725|Lot 20|Deer Run||863||01077|U|1|5/15/2008 12:11:00 PM|1|A|53837|1.23
LD|70295603|A0000654|A41350|ACT|526900|Lot 13-20|Mary B. Lane||213||02360|U|2|11/17/2005 11:57:00 AM|3|C|45739|1.05
LD|70295604|A0000654|A41350|ACT|526900|Lot 13-21|Mary B. Lane||213||02360|U|2|11/17/2005 12:08:00 PM|3|C|45742|1.05
LD|70295611|A0000654|A41350|ACT|526900|Lot 13-25|Mary B. Lane||213||02360|U|2|11/17/2005 12:11:00 PM|3|C|45736|1.04
LD|70301774|FR000005|FR0016|ACT|159900|Lot 4|Adamsville Road||160||02790|N|1|12/5/2005 2:46:00 PM|1|A|40000|0.91
LD|70303796|A9500053|A19401|ACT|169000|Lot|Church Lane||102||02532|N|1|10/23/2009 10:20:00 AM|1|A|43171|0.99
LD|70315284|BB803336|BB4539|ACT|219000|5|Steber Way||175||02769|U|2|8/19/2006 4:46:00 PM|3|A|162914|3.73
LD|70324029|A9500738|A95340|ACT|600000|0|Featherbed Lane||157|SDA|02748|U|2|3/24/2006 4:15:00 PM|3|A|18000|0.41
LD|70324061|A9500738|A95340|ACT|750000|0|Featherbed Lane||157|SDA|02748|U|2|3/24/2006 4:16:00 PM|3|A|44868|1.03
LD|70324070|A9500738|A95340|ACT|950000|0|Featherbed Lane||157|SDA|02748|U|2|3/24/2006 4:17:00 PM|3|A|121968|2.8
LD|70345249|BB980021|BB2355|PCG|6990|lot 7|Fitzgerald Road||430||01507|U|1|3/14/2006 10:02:00 AM|1|B|63118|1.44
LD|70346478|J0000997|J61900|ACT|50000|231-233|Oak Street||858||01040|U|3|3/14/2006 10:46:00 AM|7|A|11800|0.27
LD|70348040|FR000714|FR0191|ACT|350000|Lot 1|Burgess Point Shores||117|ONS|02571|U|15|7/22/2008 12:47:00 PM|32767|A|63162|1.45
LD|70348043|FR000714|FR0191|ACT|500000|Lot 5|Burgess Point Shores||117|ONS|02571|U|6|7/22/2008 12:59:00 PM|63|A|105850|2.42
LD|70348044|FR000714|FR0191|ACT|400000|Lot 6|Burgess Point Shores||117|ONS|02571|U|6|7/22/2008 1:01:00 PM|63|A|69696|1.6
LD|70348045|FR000714|FR0191|ACT|325000|Lot 8|Burgess Point Shores||117|ONS|02571|U|5|7/22/2008 1:05:00 PM|31|A|71438|1.63
LD|70369794|G0001239|G25600|ACT|399000|Lot 1|MacDonald Drive||361||01921|U|3|7/6/2006 1:01:00 PM|7|A|261360|6
LD|70374318|E0000DRN|E25901|ACT|95000|241|Chesterfield Road||540||01027|U|1|3/31/2009 10:47:00 PM|1|A|92347.2|2.11
LD|70374323|E0000DRN|E25901|ACT|95000|233|Chesterfield Road||540||01027|U|1|3/31/2009 10:48:00 PM|1|A|95832|2.2
LD|70383114|TM003430|M26501|ACT|109900|Lot 2|North Grand Street||3140||06078|U|1|5/8/2006 11:55:00 AM|1|A|196629|4.51
LD|70383115|TM003430|M26501|ACT|98900|Lot 3|North Grand Street||3140||06078|U|1|5/8/2006 11:57:00 AM|1|A|51183|1.17
LD|70383118|TM003430|M26501|ACT|104900|Lot 5|North Grand Street||3140||06078|U|1|5/8/2006 11:58:00 AM|1|A|121096|2.78
LD|70383127|TM003430|M26501|ACT|107900|Lot 9|North Grand Street||3140||06078|U|1|5/8/2006 12:01:00 PM|1|A|87555|2.01
LD|70383129|TM003430|M26501|ACT|107900|Lot 10|North Grand Street||3140||06078|U|1|5/8/2006 12:02:00 PM|1|A|79061|1.81
LD|70383132|TM003430|M26501|ACT|149900|Lot 11|North Grand Street||3140||06078|U|1|5/8/2006 12:06:00 PM|1|A|299344|6.87
LD|70383134|TM003430|M26501|ACT|107900|Lot 13|North Grand Street||3140||06078|U|1|5/8/2006 12:08:00 PM|1|A|78495|1.8
LD|70383135|TM003430|M26501|ACT|109900|Lot 14|North Grand Street||3140||06078|U|1|5/8/2006 12:09:00 PM|1|A|114040|2.61
LD|70384530|K0003304|K01596|ACT|299900|735|Mason Rd||413||01522|U|1|5/16/2006 8:51:00 AM|1|A|598514|13.73
LD|70396418|FR001014|FR0140|ACT|34900|Lot 0|Highland Street||154||02743|U|1|6/1/2006 10:38:00 AM|1|A|7013.16|0.16
LD|70400749|BB981055|NB9047|PCG|80000|1135|CENTRAL STREET||192||02072|N|25|1/8/2010 11:13:00 AM|33554431|A|135000|3.1
LD|70409029|FR000324|FR0191|ACT|2200000|400-406|Horseneck Road||160||02790|U|9|7/6/2009 12:23:00 PM|511|A|2173644|49.9
LD|70412604|BB301851|BB9924|ACT|85000|0|HILLSIDE AVENUE||67||02703|U|1|6/23/2006 10:01:00 PM|1|A|12000|0.27
LD|70421588|K0002568|K01330|ACT|69900|Lot 7|Lyford Rd||421||01562|U|0|3/28/2007 3:13:00 PM|0|A|77398|1.77
LD|70435277|E0000JAR|E80002|ACT|215000|Lot 45|Hawthorn Road||526||01002|U|1|8/4/2006 3:39:00 PM|1|A|40963|0.94
LD|70435383|E0000JAR|E80002|ACT|190000|Lot 55|Concord Way||526||01002|U|1|8/4/2006 4:47:00 PM|1|A|43200|0.99
LD|70441833|K9500775|K01171|ACT|59900|Lot 2|Lakeside Ave||432||01570|N|1|8/16/2006 11:03:00 PM|1|A|5236|0.12
LD|70441838|K9500775|K01171|ACT|59900|Lot 3|Lakeside Ave||432||01570|N|1|8/16/2006 11:26:00 PM|1|A|5063|0.11
LD|70442613|BB803336|BB4539|ACT|219000|6|Steber Way||175||02769|U|1|9/19/2009 10:50:00 AM|1|A|100629|2.31
LD|70442620|BB803336|BB4539|ACT|219000|2|Osprey Cir||175||02769|U|2|9/19/2009 10:50:00 AM|3|A|87878|2.02
LD|70442629|BB803336|BB4539|ACT|219000|19|Steber Way||175||02769|U|2|9/19/2009 10:52:00 AM|3|A|70890|1.63
LD|70442813|BB803336|BB4539|ACT|219000|2|Steber Way||175||02769|U|2|9/19/2009 10:53:00 AM|3|A|62726|1.43
LD|70442824|BB803336|BB4539|ACT|219000|1|Steber Way||175||02769|U|1|8/19/2006 4:41:00 PM|1|A|60548|1.38
LD|70445892|H6381907|D62801|ACT|255000|30|Skytop Lane||378||01827|N|1|8/24/2006 3:30:00 PM|1|A|101930|2.33
LD|70445904|H6381907|D62801|ACT|239900|29|Skytop Lane||378||01827|N|1|8/24/2006 3:38:00 PM|1|A|127631|2.93
LD|70448599|A9501213|A95264|ACT|229900|2|Beach Plum Circle||115|ESA|02537|U|1|8/30/2006 1:07:00 PM|1|A|60984|1.4
LD|70448690|BB801201|BB4767|ACT|275000|LOT 31|NICOLE WAY||157|NDA|02747|U|1|8/30/2006 2:42:00 PM|1|A|41238|0.94
LD|70448741|BB801201|BB4767|ACT|275000|LOT 30|NICOLE WAY||157|NDA|02747|U|1|8/30/2006 2:47:00 PM|1|A|88136|2.02
LD|70448758|BB801201|BB4767|ACT|275000|LOT 28|NICOLE WAY||157|NDA|02747|U|1|8/30/2006 2:58:00 PM|1|A|46758|1.07
LD|70448767|BB801201|BB4767|ACT|275000|LOT 27|ELISE LANE||157|NDA|02747|U|1|8/30/2006 3:04:00 PM|1|A|49283|1.13
LD|70448801|BB801201|BB4767|ACT|249000|LOT 22|ELISE LANE||157|NDA|02747|U|1|8/30/2006 3:30:00 PM|1|A|42134|0.96
LD|70448809|BB801201|BB4767|ACT|249000|LOT 24|ELISE LANE||157|NDA|02747|U|1|8/30/2006 3:39:00 PM|1|A|43811|1
LD|70448814|BB801201|BB4767|ACT|275000|LOT 25|ELISE LANE||157|NDA|02747|U|1|8/30/2006 3:43:00 PM|1|A|56056|1.28
LD|70448821|BB801201|BB4767|ACT|275000|LOT 26|ELISE LANE||157|NDA|02747|U|1|8/30/2006 3:47:00 PM|1|A|53895|1.23
LD|70464252|A0000147|BB2685|ACT|350000|Lot 11|Holly Road (Chestnut Hill)||208||02041|N|2|8/22/2008 7:30:00 AM|3|A|52893|1.21
LD|70468688|D9500126|D95046|ACT|249900|Lot 302|Ryan Farm Road||1228||03087|U|3|10/3/2006 11:41:00 AM|7|A|115347|2.64
LD|70468689|D9500126|D95046|ACT|399900|Lot 300|Ryan Farm Road||1228||03087|U|3|10/3/2006 11:42:00 AM|7|A|87512|2
LD|70472463|E9500360|E21001|ACT|80000|Lot 1,380A|Steady Lane||520||01330|U|2|10/11/2006 3:38:00 PM|3|A|108900|2.5
LD|70472464|E9500360|E21001|ACT|80000|Lot 2,380A|Steady Lane||520||01330|U|2|10/11/2006 3:39:00 PM|3|A|121968|2.8
LD|70477299|FR000714|FR0191|ACT|375000|Lot 7|Burgess Point Shores||117||02571|U|2|11/20/2009 1:55:00 PM|3|A|69696|1.6
LD|70484326|D9500126|D95046|ACT|249900|Lot 307|Ryan Farm Road||1228||03087|U|3|11/2/2006 11:49:00 AM|7|A|98881|2.27
LD|70484328|D9500126|D95046|ACT|249900|Lot 308|Ryan Farm Road||1228||03087|U|2|11/2/2006 11:50:00 AM|3|A|92608|2.12
LD|70484330|D9500126|D95046|ACT|249900|Lot 184|Ryan Farm Road||1228||03087|U|2|11/2/2006 11:50:00 AM|3|A|111034|2.54
LD|70485485|M0000098|BB3028|ACT|189000|Lot 14|Gableview Lane||863||01077|U|9|5/19/2008 12:39:00 PM|511|A|40071|0.91
LD|70485646|M0000174|M15000|ACT|499900|747|Parker Street||853||01028|U|1|11/13/2006 3:57:00 PM|1|B|348480|8
LD|70486590|E9500360|E21001|ACT|1500000|Lot 0|Hyde Hill Rd||534||01032|U|3|11/7/2006 2:19:00 PM|7|B|5594411|128.43
LD|70492571|J0000997|J61900|ACT|15000|190|Lyman Street||858||01040|U|2|11/27/2006 3:30:00 PM|3|C|1392|0.03
LD|70494406|BB803336|BB4539|ACT|139900|284|Fairview Ave||175||02769|U|1|12/6/2006 5:17:00 PM|1|A|60002|1.37
LD|70494414|BB803336|BB4539|ACT|159900|280|Fairview Ave||175||02769|U|1|12/6/2006 5:17:00 PM|1|A|137649|3.16
LD|70498677|E0000PMG|E21201|ACT|189900|76|Reservoir Road||530|LDS|01053|N|1|12/12/2006 4:53:00 PM|1|A|112355|2.57
LD|70498678|E0000PMG|E21201|ACT|169900|2|Reservoir Road||530|LDS|01053|N|1|12/12/2006 4:50:00 PM|1|A|80645|1.85
LD|70510094|M9500646|G80034|ACT|24900|0|Horne St||839|844|01119|U|0|3/28/2007 3:12:00 PM|0|A|8642|0.19
LD|70510096|M9500646|G80034|ACT|24900|Lot 0|Stuart Street||839|844|01119|U|0|3/28/2007 3:12:00 PM|0|A|8642|0.19
LD|70511287|B9500942|NB9587|ACT|22000|83 Lot 1|Elmwood Rd||466||01475|U|2|2/20/2007 7:25:00 PM|3|A|12684|0.29
LD|70511291|B9500942|NB9587|ACT|24000|83 Lot 2|Elmwood Rd||466||01475|U|2|2/20/2007 7:23:00 PM|3|A|13714|0.31
LD|70518034|BB806488|FR0155|ACT|95000|96A|Gormley Avenue||2003||02871|U|3|2/4/2007 10:27:00 PM|7|A|4550|0.1
LD|70518704|D9500190|AC1831|ACT|325000|Lot 1|Greystone Lane||375||01741|U|2|1/31/2007 10:19:00 AM|3|A|87156|2
LD|70518868|D9500190|AC1831|ACT|450000|Lot 4|Greystone Lane||375||01741|U|2|1/31/2007 1:52:00 PM|3|A|95485|2.19
LD|70518870|D9500190|AC1831|ACT|450000|Lot 5|Greystone Lane||375||01741|U|2|1/31/2007 1:54:00 PM|3|A|96522|2.21
LD|70518875|D9500190|AC1831|ACT|450000|Lot 10|Captain Wilson Lane||375||01741|U|2|1/31/2007 1:55:00 PM|3|A|93438|2.14
LD|70522757|NA110432|NA1315|ACT|155000|160|ANTHONY ST.||70||02771|U|1|10/18/2007 4:23:00 PM|1|A|19502|0.44
LD|70522764|NA110432|NA1315|ACT|150000|184|ANTHONY ST.||70||02771|N|2|6/1/2009 1:51:00 PM|3|A|16372|0.37
LD|70524008|NA110432|NA1315|ACT|189000|42|AUBIN||70||02771|U|2|6/1/2009 12:06:00 PM|3|A|36396|0.83
LD|70527832|A8001974|A95264|ACT|249000|4|Crosswinds Way||107||02536|U|6|2/19/2007 2:54:00 PM|63|A|61419|1.41
LD|70527836|A8001974|A95264|ACT|249000|5|Crosswinds Way||107||02536|U|6|2/19/2007 3:01:00 PM|63|A|1.17|0
LD|70528110|BB301851|BB9924|ACT|479000|0|Camp Road||25||02035|U|4|6/18/2008 5:26:00 PM|15|A|40052|0.91
LD|70534539|K9500770|K01304|ACT|189900|5|Great Pond Way||411||01564|U|4|3/5/2007 8:53:00 AM|15|A|389426|8.94
LD|70538518|BB983026|BB9241|ACT|325000|335|North Washington ROUTE 1A||68||02760|U|3|3/11/2007 9:43:00 PM|7|C|17783|0.4
LD|70543618|E0000JAR|E80002|ACT|215000|Lot 65|Linden Ridge Road||526||01002|U|1|3/20/2007 2:55:00 PM|1|A|45302|1.04
LD|70567829|C8002737|C95006|ACT|494900|00|Dodge Pasture Road||1203||03782|N|11|5/3/2007 9:42:00 PM|2047|A|9875052|226.7
