PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET
MF|70329336|FR000264|FR0212|ACT|299900|738-744|Plymouth Avenue||161||02721|U|1|3/7/2012 3:26:00 PM|1|B|3|3|16|0|4|3571|0.08|4036
MF|70388750|NB900032|NB2905|ACT|459999|15|Early Avenue||16||02155|U|12|5/16/2006 4:05:00 PM|4095|A|2|2|11|2|4|4494|0.1|2242
MF|70433025|FR001013|FR0140|ACT|264900|257|Belleville Avenue||156|NNO|02746|U|1|8/1/2006 2:38:00 PM|1|C|4|3|24|0|4|6065|0.13|4824
MF|70440594|NB111928|NB2645|ACT|450000|509|Lawrence St||372||01852|N|6|2/11/2012 9:19:00 AM|63|E|5|3|24|0|5|6420|0.15|5835
MF|70536135|BB810367|BB5884|ACT|190999|12|Diana Street||1021||03570|U|1|3/7/2007 10:00:00 AM|1|E|6|3|24|0|10|6534|0.15|0
MF|70574883|FR000091|FR0038|ACT|221900|229|Stafford Road||161||02721|U|11|7/25/2007 10:32:00 AM|2047|B|3|3|16|0|5|5070|0.11|3487
MF|70580687|BB300368|BB5169|ACT|235000|25|Taylor Street||441||01757|U|1|5/17/2007 2:57:00 PM|1|A|2|2|12|4|9|12196|0.28|3800
MF|70593122|BB904004|AC0680|ACT|999000|171|Walnut St||17|WTH|02145|U|7|6/7/2007 12:35:00 PM|127|E|7|3|30|4|5|8537|0.2|6528
MF|70606308|FR001013|FR0140|ACT|399900|183|Orchard St||156|NWE|02740|N|23|2/15/2010 10:21:00 AM|8388607|C|4|2|16|0|1|6553|0.15|3667
MF|70611211|BB981680|BB9266|ACT|239000|38|Benefit Street||401||01610|N|30|1/5/2008 10:06:00 PM|1073741823|E|6|3|19|0|4|4914|0.11|5163
MF|70633365|J0000997|J61900|ACT|429900|948|Dwight Street||858||01040|U|5|8/20/2007 11:20:00 AM|31|E|16|4|48|0|6|4860|0.11|10608
MF|70647934|M0000576|AC0644|ACT|119000|10|PARKER STREET||839|849|01151|U|4|9/17/2007 11:06:00 AM|15|B|3|2|15|0|0|2686|0.06|0
MF|70653070|B0487088|B71901|ACT|249900|81|SALEM STREET||301||01801|U|1|9/24/2007 5:26:00 PM|1|A|2|2|8|0|4|5820|0.13|1617
MF|70721078|FR001013|FR0140|ACT|42900|523-525|Purchase St||156|NWE|02740|U|10|5/13/2009 2:26:00 PM|1023|A|2|2|10|0|0|4677|0.11|2752
