ID|NAME|PHONE
0|Default Office|   -       
100000|KBAR|781-5998379
100004|Prudential Verani Real Estate|603-3296625
100005|Re/max Gallery|978-2818005
100010|Vernon A. Martin, Inc.|978-5311100
100012|Homebuyer Realty, Inc.|781-2793015
100148|RE/MAX Advantage Real Estate|978-5353122
1161|Century 21 Peter M. Schultz|508-3848121
16999|The Northeast Association of Realtors|978-5776138
19999|Worcester Regional Assoc. of Realtors|508-8326600
2938|American Liberty|508-1111111
3040|Odyssey Realty|781-3263581
3512|Success! Real Estate|617-8373311
3515|Success! Real Estate|617-8373311
3590|Guy, M. C. Realty|781-8611100
4080|Switzler Realtors|781-2351299
4887|Coldwell Banker Hutchinson|508-6957066
4910|Katherine Hamelin Realtor|508-8656742
4961|Northland Residential Corp|617-6307253
5157|E. T. Dwyer Real Estate|781-8431111
5205|Lonergan Real Estate|781-3957158
5213|Pag Appraisal Service|508-4761532
5284|Able Realty|508-4815555
5316|Hillside Real Estate|781-3951400
5326|Channing Real Estate, Inc.|617-8645400
5359|Discover Properties|781-3261800
5363|Brattle Associates Real Estate|617-4927456
5384|Avenue Appraisal|617-6438200
5392|Karp & Liberman Real Estate|617-9652033
5406|Christian & Schromm|508-3393712
5442|The Bradford Company|781-3566565
5560|First Investors Choice Re|508-5841000
5575|Shamrock Realty|781-8948524
5580|Shamrock Realty|781-8948524
5582|Shamrock Realty|781-8948524
9475|Streetcar Realty Corp|781-8458884
950001|Fleming / Goodrow Real Estate|508-6763435
A00101|John J. Prudente Agency|781-3373381
A00152|Preston Properties|781-8717203
A00172|Realty Executives South Shore|617-7401040
A00182|Builders & Developers Co Op|781-9259711
A00192|White Cliffs Marketing Co.|508-8887800
A00202|Buyers Best Realty|617-8340312
A00211|Minot Realty|781-5458987
A00214|Ridgewood Realty|508-8887033
A00215|Braga & Associates|781-5442000
A00216|Megan Real Estate|781-6898069
A00250|Crescent Realty Group, LLC|781-8269300
A00301|Prudential N. E. Prime Prop.|617-3831888
A00302|Homeport Real Estate|508-8887100
A00305|Fay Realty|508-3203486
A00312|Douglas Company|617-9472246
A00313|Century 21 Annex Realty|781-8294210
A00314|Hersey Real Estate|781-7400001
A00315|The Home Buyers Alternative|617-5853885
A00316|Queen Anne Realty|781-7499484
A00401|Buyer Brokers Of The S. Shore|781-9344657
A00402|McLaughlin & Co|781-5451555
A00405|American Community Development|781-3831026
A00408|Realty Executives South Shore|781-5828600
A00450|Dean & Hamilton REALTORS|781-3836010
A00501|Excel Real Estate|781-2944663
A00502|Janovsky Appraisal Services|781-8438438
A00503|Ritchie (T.A.)& Associates,LTD|781-7994900
A00505|Gallagher Group, Inc.|781-6593400
A00506|Meeting Place Realty|508-       
A00511|ABC Companies, Inc.|781-7674300
A00701|Homes by Helene|508-2246756
A00751|Greystone Properties Inc.|781-8788070
A00755|Kern Realty|617-7404637
A00780|Townhome Realty|781-8717249
A00788|South Shore Realty Group|617-4733611
A00790|Real Estate Revolution|888-2973343
A00792|Hingham Cooperative Realty|781-7401088
A00795|Welcome Home|781-6689837
A00797|Joyce Realty Group|617-5456803
A00799|Today Real Estate|508-8888008
A00801|Realty Associates Of New Eng.|781-8262630
A00901|Dufour Associates, Inc.|508-6782213
A01208|Success! Real Estate Company|781-8489064
A01212|Success! Real Estate|781-8489064
A01302|Gallery 360, Marshfield|781-8344464
A01303|The Chase Company|781-7402400
A01304|M.H.F.A.|617-8541372
A01306|Gallery 360, Hingham|781-7496966
