PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET
RN|70203427|G0002769|AC1819|ACT|1319|740|Farm Road|vary|405||01752||6|7/29/2007 3:40:00 PM|63|D|4|2|1|0|N|2|0|876
RN|70250527|G0002769|AC1819|ACT|1100|285|Plantation Street|varies|401||01604||3|7/29/2007 3:47:00 PM|7|D|4|1|1|0|N|2|0|875
RN|70250528|G0002769|AC1819|ACT|1269|285|Plantation Street|varies|401||01604||3|7/29/2007 3:45:00 PM|7|D|4|2|1|1|N|2|0|930
RN|70250531|G0002769|AC1819|ACT|1100|285|Plantation Street|varies|401||01604||3|7/29/2007 3:45:00 PM|7|D|3|1|1|0|N|2|0|650
RN|70250537|G0002769|AC1819|ACT|1169|285|Plantation Street|varies|401||01604||6|7/29/2007 3:41:00 PM|63|D|4|1|1|0|N|2|0|875
RN|70250555|G0002769|AC1819|ACT|925|595|Merrill Lane|0|371||01826||6|8/1/2008 11:52:00 AM|63|D|3|1|1|0|N|2|0|530
RN|70250557|G0002769|AC1819|ACT|1030|595|Merrill Lane|varies|371||01826||4|8/1/2008 11:53:00 AM|15|D|4|2|1|0|N|2|0|820
RN|70333555|A0000789|BB9566|ACT|1500|231|Fells Pond Road|231|111||02649||26|10/21/2009 3:56:00 PM|67108863|A|6|4|2|0|N|8|10000|1980
RN|70401315|G0002769|AC1819|ACT|997|1001|Westford Street|vary|372||01851||4|7/29/2007 3:56:00 PM|15|D|4|2|1|1|N|2|0|825
RN|70401323|G0002769|AC1819|ACT|1347|678|Princeton Blvd|varies|372||01851||1|7/29/2007 3:48:00 PM|1|D|5|2|1|0|N|2|0|930
RN|70401324|G0002769|AC1819|ACT|967|678|Princeton Blvd|0|372||01851||1|7/29/2007 3:47:00 PM|1|D|3|1|1|0|N|2|0|650
RN|70401332|G0002769|AC1819|ACT|1072|1001|Westford Street|vary|372||01851||3|1/7/2008 12:00:00 PM|7|D|4|2|2|0|Y|2|0|825
RN|70439087|G0002769|AC1819|ACT|1319|740|Farm Road|varies|405||01752||1|7/29/2007 3:53:00 PM|1|D|4|2|1|0|N|2|0|876
RN|70439091|G0002769|AC1819|ACT|1159|740|Farm Road|varies|405||01752||1|7/29/2007 3:54:00 PM|1|D|3|1|1|0|N|2|0|600
RN|70439093|G0002769|AC1819|ACT|1090|285|Plantation Street|varies|401||01604||8|7/29/2007 3:54:00 PM|255|D|4|1|1|0|N|2|0|875
RN|70439094|G0002769|AC1819|ACT|1170|285|Plantation Street|varies|401||01604||4|7/29/2007 3:55:00 PM|15|D|4|2|1|0|N|2|0|930
RN|70439097|G0002769|AC1819|ACT|1010|285|Plantation Street|varies|401||01604||3|7/29/2007 3:55:00 PM|7|D|3|1|1|0|N|2|0|650
RN|70575303|G0002769|AC1819|ACT|1280|1|Technology Drive|vary|376||01824||1|5/9/2007 5:33:00 PM|1|D|3|1|1|0|N|1|10000|670
RN|70575305|G0002769|AC1819|ACT|1730|1|Technology Drive|vary|376||01824||1|5/9/2007 5:33:00 PM|1|D|5|2|2|0|Y|1|10000|1030
RN|70575306|G0002769|AC1819|ACT|1810|1|Technology Drive|vary|376||01824||1|5/9/2007 5:33:00 PM|1|D|5|2|2|0|Y|1|10000|1076
RN|70599699|G0002769|AC1819|ACT|1050|479|S. Broadway|vary|364||01843||1|7/29/2007 3:35:00 PM|1|D|4|2|1|0||2|80000|820
RN|70600966|G0002769|AC1819|ACT|908|1982-1990|Middlesex Street|vary|372||01851||1|6/19/2007 5:40:00 PM|1|D|3|1|1|0|N|1|80000|650
RN|70600977|G0002769|AC1819|ACT|1015|1982-1990|Middlesex Street|vary|372||01851||1|6/19/2007 5:55:00 PM|1|D|4|2|1|0|N|1|43000|800
RN|70600997|G0002769|AC1819|ACT|1350|525|Merrill Lane|0|371||01826||2|8/1/2008 11:53:00 AM|3|D|4|2|2|0|N|2|100000|530
RN|70602279|G0002769|AC1819|ACT|895|23-59|Pratt Ave|vary|372||01851||1|9/10/2007 7:53:00 AM|1|D|3|1|1|0||2|0|506
RN|70602303|G0002769|AC1819|ACT|997|23-59|Pratt Ave|vary|372||01851||1|9/10/2007 7:53:00 AM|1|D|4|2|1|0||2|0|725
RN|70603049|G0002769|AC1819|ACT|1075|670|Princeton Blvd|varies|372||01851||3|7/29/2007 3:33:00 PM|7|D|3|1|1|0||1|43000|730
RN|70603066|G0002769|AC1819|ACT|1125|670|Princeton Blvd|varies|372||01851||3|7/30/2007 2:54:00 PM|7|D|4|2|1|0||1|43000|800
RN|70603069|G0002769|AC1819|ACT|1355|670|Princeton Blvd|varies|372||01851||2|7/29/2007 3:21:00 PM|3|D|4|2|1|0||1|43000|930
RN|70603072|G0002769|AC1819|ACT|1200|670|Princeton Blvd|varies|372||01851||2|7/29/2007 3:21:00 PM|3|D|4|2|1|0||1|43000|930
RN|70603077|G0002769|AC1819|ACT|1385|670|Princeton Blvd|varies|372||01851||2|7/29/2007 3:22:00 PM|3|B|4|2|1|0||1|43000|930
RN|70603079|G0002769|AC1819|ACT|1325|39|Carl Street|varies|372||01851||1|7/29/2007 3:23:00 PM|1|D|4|1|1|0||1|160000|769
RN|70603084|G0002769|AC1819|ACT|1487|39|Carl Street|varies|372||01851||1|7/29/2007 3:25:00 PM|1|D|4|2|1|1|Y|1|160000|769
RN|70603087|G0002769|AC1819|ACT|1350|39|Carl Street|varies|372||01851||1|7/30/2007 2:55:00 PM|1|D|4|2|1|1|Y|1|160000|769
RN|70603089|G0002769|AC1819|ACT|1450|39|Carl Street|varies|372||01851||1|7/29/2007 3:24:00 PM|1|D|4|2|1|1|Y|1|160000|1002
RN|70603091|G0002769|AC1819|ACT|908|240|Varnum Ave|vary|372||01851||1|6/22/2007 3:21:00 PM|1|D|3|1|1|0||1|35000|600
RN|70603092|G0002769|AC1819|ACT|1015|240|Varnum Ave|vary|372||01851||1|6/22/2007 3:21:00 PM|1|D|4|2|1|0||1|35000|780
RN|70603482|G0002769|AC1819|ACT|939|194|Cohasset Street|vary|401||01604||1|7/29/2007 3:11:00 PM|1|D|4|2|1|0||1|200000|700
RN|70603487|G0002769|AC1819|ACT|940|479|S. Broadway|vary|364||01843||1|7/29/2007 3:19:00 PM|1|D|3|1|1|0|N|2|25000|570
RN|70603488|G0002769|AC1819|ACT|1010|479|S. Broadway|vary|364||01843||1|7/29/2007 3:34:00 PM|1|D|4|2|1|0||1|80000|700
RN|70603490|G0002769|AC1819|ACT|970|46|Park Street|varies|372||01852||4|7/29/2007 3:36:00 PM|15|D|3|1|1|0|N|1|40000|600
RN|70603493|G0002769|AC1819|ACT|1070|46|Park Street|varies|372||01852||4|7/30/2007 2:53:00 PM|15|D|4|2|1|0|N|1|45000|720
