TOWN_NUM|LONG|COUNTY|STATE
1|Boston|SUFF|MA
12|Brookline|NORF|MA
13|Cambridge|MIDD|MA
14|Everett|MIDD|MA
15|Malden|MIDD|MA
16|Medford|MIDD|MA
17|Somerville|MIDD|MA
20|Revere|SUFF|MA
21|Winthrop|SUFF|MA
22|Chelsea|SUFF|MA
23|Canton|NORF|MA
24|Dedham|NORF|MA
25|Foxboro|NORF|MA
26|Mansfield|BRIS|MA
27|Medfield|NORF|MA
28|Milton|NORF|MA
29|Norwood|NORF|MA
30|Sharon|NORF|MA
31|Walpole|NORF|MA
32|Westwood|NORF|MA
33|Bellingham|NORF|MA
34|Franklin|NORF|MA
35|Medway|NORF|MA
36|Millis|NORF|MA
37|Norfolk|NORF|MA
38|Wrentham|NORF|MA
39|Newton|MIDD|MA
40|Waltham|MIDD|MA
41|Watertown|MIDD|MA
42|Arlington|MIDD|MA
43|Belmont|MIDD|MA
44|Winchester|MIDD|MA
45|Ashland|MIDD|MA
46|Framingham|MIDD|MA
47|Holliston|MIDD|MA
48|Hopkinton|MIDD|MA
49|Hudson|MIDD|MA
50|Natick|MIDD|MA
51|Sudbury|MIDD|MA
52|Wayland|MIDD|MA
53|Dover|NORF|MA
54|Needham|NORF|MA
55|Sherborn|MIDD|MA
56|Wellesley|NORF|MA
57|Weston|MIDD|MA
58|Acton|MIDD|MA
59|Bedford|MIDD|MA
60|Boxborough|MIDD|MA
61|Burlington|MIDD|MA
62|Concord|MIDD|MA
63|Lexington|MIDD|MA
64|Lincoln|MIDD|MA
65|Maynard|MIDD|MA
66|Stow|MIDD|MA
67|Attleboro|BRIS|MA
68|North Attleboro|BRIS|MA
69|Plainville|NORF|MA
70|Seekonk|BRIS|MA
101|Barnstable|BARN|MA
102|Bourne|BARN|MA
103|Brewster|BARN|MA
104|Chatham|BARN|MA
105|Dennis|BARN|MA
106|Eastham|BARN|MA
107|Falmouth|BARN|MA
108|Harwich|BARN|MA
111|Mashpee|BARN|MA
112|Nantucket|NANT|MA
113|Orleans|BARN|MA
114|Provincetown|BARN|MA
115|Sandwich|BARN|MA
116|Truro|BARN|MA
117|Wareham|PLYM|MA
118|Wellfleet|BARN|MA
119|Yarmouth|BARN|MA
121|Aquinnah|DUKE|MA
122|Chilmark|DUKE|MA
123|West Tisbury|DUKE|MA
124|Tisbury|DUKE|MA
125|Oak Bluffs|DUKE|MA
126|Edgartown|DUKE|MA
127|Gosnold|DUKE|MA
150|Marion|PLYM|MA
151|Mattapoisett|PLYM|MA
152|Rochester|PLYM|MA
153|Lakeville|PLYM|MA
154|Acushnet|BRIS|MA
155|Fairhaven|BRIS|MA
156|New Bedford|BRIS|MA
157|Dartmouth|BRIS|MA
160|Westport|BRIS|MA
161|Fall River|BRIS|MA
162|Freetown|BRIS|MA
163|Somerset|BRIS|MA
164|Swansea|BRIS|MA
170|Norton|BRIS|MA
171|Raynham|BRIS|MA
172|Berkley|BRIS|MA
173|Taunton|BRIS|MA
174|Dighton|BRIS|MA
175|Rehoboth|BRIS|MA
180|Middleboro|PLYM|MA
181|Bridgewater|PLYM|MA
182|East Bridgewater|PLYM|MA
183|West Bridgewater|PLYM|MA
184|Easton|BRIS|MA
185|Brockton|PLYM|MA
186|Whitman|PLYM|MA
187|Rockland|PLYM|MA
188|Abington|PLYM|MA
189|Holbrook|NORF|MA
190|Randolph|NORF|MA
191|Avon|NORF|MA
192|Stoughton|NORF|MA
193|Weymouth|NORF|MA
194|Braintree|NORF|MA
195|Quincy|NORF|MA
196|Hull|PLYM|MA
200|Hingham|PLYM|MA
201|Cohasset|NORF|MA
202|Scituate|PLYM|MA
203|Norwell|PLYM|MA
204|Hanover|PLYM|MA
205|Hanson|PLYM|MA
206|Halifax|PLYM|MA
207|Pembroke|PLYM|MA
208|Marshfield|PLYM|MA
209|Duxbury|PLYM|MA
210|Kingston|PLYM|MA
211|Plympton|PLYM|MA
212|Carver|PLYM|MA
213|Plymouth|PLYM|MA
301|Woburn|MIDD|MA
302|Wilmington|MIDD|MA
303|North Reading|MIDD|MA
304|Reading|MIDD|MA
305|Stoneham|MIDD|MA
306|Melrose|MIDD|MA
307|Wakefield|MIDD|MA
311|Saugus|ESSX|MA
312|Lynn|ESSX|MA
313|Lynnfield|ESSX|MA
314|Nahant|ESSX|MA
315|Peabody|ESSX|MA
316|Salem|ESSX|MA
317|Swampscott|ESSX|MA
318|Marblehead|ESSX|MA
319|Beverly|ESSX|MA
320|Danvers|ESSX|MA
321|Middleton|ESSX|MA
322|Topsfield|ESSX|MA
323|Wenham|ESSX|MA
324|Hamilton|ESSX|MA
325|Manchester|ESSX|MA
326|Gloucester|ESSX|MA
327|Rockport|ESSX|MA
328|Essex|ESSX|MA
329|Ipswich|ESSX|MA
341|Rowley|ESSX|MA
342|Newbury|ESSX|MA
343|West Newbury|ESSX|MA
344|Newburyport|ESSX|MA
345|Salisbury|ESSX|MA
346|Amesbury|ESSX|MA
351|Merrimac|ESSX|MA
352|Haverhill|ESSX|MA
353|Groveland|ESSX|MA
354|Georgetown|ESSX|MA
361|Boxford|ESSX|MA
362|North Andover|ESSX|MA
363|Andover|ESSX|MA
364|Lawrence|ESSX|MA
365|Methuen|ESSX|MA
371|Dracut|MIDD|MA
372|Lowell|MIDD|MA
373|Tewksbury|MIDD|MA
374|Billerica|MIDD|MA
375|Carlisle|MIDD|MA
376|Chelmsford|MIDD|MA
377|Tyngsborough|MIDD|MA
378|Dunstable|MIDD|MA
379|Westford|MIDD|MA
380|Littleton|MIDD|MA
401|Worcester|WORC|MA
402|Berlin|WORC|MA
403|Boylston|WORC|MA
404|Clinton|WORC|MA
405|Marlborough|MIDD|MA
406|Northborough|WORC|MA
407|Southborough|WORC|MA
408|Westborough|WORC|MA
409|Shrewsbury|WORC|MA
410|West Boylston|WORC|MA
411|Sterling|WORC|MA
412|Princeton|WORC|MA
413|Holden|WORC|MA
414|Rutland|WORC|MA
415|Barre|WORC|MA
416|Hardwick|WORC|MA
417|New Braintree|WORC|MA
418|Oakham|WORC|MA
419|Paxton|WORC|MA
420|Leicester|WORC|MA
421|Spencer|WORC|MA
422|East Brookfield|WORC|MA
423|North Brookfield|WORC|MA
424|West Brookfield|WORC|MA
425|Brookfield|WORC|MA
426|Warren|WORC|MA
427|Sturbridge|WORC|MA
428|Southbridge|WORC|MA
429|Dudley|WORC|MA
430|Charlton|WORC|MA
431|Oxford|WORC|MA
432|Webster|WORC|MA
433|Douglas|WORC|MA
434|Sutton|WORC|MA
435|Northbridge|WORC|MA
436|Uxbridge|WORC|MA
437|Millville|WORC|MA
438|Blackstone|WORC|MA
439|Mendon|WORC|MA
440|Hopedale|WORC|MA
441|Milford|WORC|MA
442|Upton|WORC|MA
443|Grafton|WORC|MA
444|Millbury|WORC|MA
445|Auburn|WORC|MA
451|Bolton|WORC|MA
452|Harvard|WORC|MA
453|Lancaster|WORC|MA
454|Leominster|WORC|MA
455|Fitchburg|WORC|MA
456|Lunenburg|WORC|MA
457|Shirley|MIDD|MA
458|Ayer|MIDD|MA
459|Groton|MIDD|MA
460|Pepperell|MIDD|MA
461|Townsend|MIDD|MA
462|Ashby|MIDD|MA
463|Ashburnham|WORC|MA
464|Westminster|WORC|MA
465|Gardner|WORC|MA
466|Winchendon|WORC|MA
467|Royalston|WORC|MA
468|Templeton|WORC|MA
469|Hubbardston|WORC|MA
470|Phillipston|WORC|MA
471|Petersham|WORC|MA
472|Athol|WORC|MA
473|Orange|FRAN|MA
479|Devens|WORC|MA
501|Leverett|FRAN|MA
502|Shutesbury|FRAN|MA
503|New Salem|FRAN|MA
504|Wendell|FRAN|MA
505|Erving|FRAN|MA
506|Warwick|FRAN|MA
507|Northfield|FRAN|MA
508|Gill|FRAN|MA
509|Bernardston|FRAN|MA
510|Leyden|FRAN|MA
511|Greenfield|FRAN|MA
512|Shelburne|FRAN|MA
513|Colrain|FRAN|MA
514|Heath|FRAN|MA
515|Rowe|FRAN|MA
516|Monroe|FRAN|MA
517|Charlemont|FRAN|MA
518|Hawley|FRAN|MA
519|Buckland|FRAN|MA
520|Ashfield|FRAN|MA
521|Conway|FRAN|MA
522|Deerfield|FRAN|MA
523|Montague|FRAN|MA
524|Sunderland|FRAN|MA
525|Whately|FRAN|MA
526|Amherst|HAMP|MA
527|Hadley|HAMP|MA
528|Pelham|HAMP|MA
529|Hatfield|HAMP|MA
530|Northampton|HAMP|MA
531|Chesterfield|HAMP|MA
532|Cummington|HAMP|MA
533|Worthington|HAMP|MA
534|Goshen|HAMP|MA
535|Williamsburg|HAMP|MA
536|Huntington|HAMP|MA
537|Middlefield|HAMP|MA
538|Plainfield|HAMP|MA
539|Easthampton|HAMP|MA
540|Westhampton|HAMP|MA
551|Williamstown|BERK|MA
552|Clarksburg|BERK|MA
553|Florida|BERK|MA
554|North Adams|BERK|MA
555|Adams|BERK|MA
556|New Ashford|BERK|MA
557|Hancock|BERK|MA
558|Lanesborough|BERK|MA
559|Cheshire|BERK|MA
560|Savoy|BERK|MA
561|Windsor|BERK|MA
562|Peru|BERK|MA
563|Hinsdale|BERK|MA
564|Dalton|BERK|MA
565|Pittsfield|BERK|MA
566|Richmond|BERK|MA
567|West Stockbridge|BERK|MA
568|Stockbridge|BERK|MA
569|Lenox|BERK|MA
570|Lee|BERK|MA
571|Washington|BERK|MA
572|Becket|BERK|MA
573|Tyringham|BERK|MA
574|Otis|BERK|MA
575|Sandisfield|BERK|MA
576|Monterey|BERK|MA
577|New Marlboro|BERK|MA
578|Sheffield|BERK|MA
579|Mount Washington|BERK|MA
580|Egremont|BERK|MA
581|Great Barrington|BERK|MA
582|Alford|BERK|MA
675|Guilford|VTWD|VT
676|Vernon|VTWD|VT
677|West Halifax|VTWD|VT
678|Whitingham|VTWD|VT
679|Readsboro|VTWD|VT
680|Stamford|VTWD|VT
681|Pownal|VTWD|VT
